district,address,boomTime,lat,lon
大同區,南京西路67號,106-4-19,25.0531851,121.5188903
大同區,環河北路2段181號,106-4-23,25.0681556,121.5092374
大同區,民生西路與太原路口,106-5-7,25.0570219,121.5167199
大同區,塔城街與鄭州路口,106-5-8,25.050385,121.5097864
大同區,承德路2段235號成淵高中前,106-4-17,25.061357,121.51866
大同區,大龍街22巷,106-4-18,25.0637169,121.5158057
大同區,承德路1段與長安西路口,106-4-18,25.0509042,121.5169661
大同區,承德路3段190巷,106-4-23,25.0697652,121.5182395
大同區,南京西路262巷對面,106-4-24,25.053373,121.515261
大同區,昌吉街與大龍街口,106-6-7,25.0663713,121.5166849
大同區,重慶北路3段與民權西路口,106-6-10,25.063122,121.5137174
大同區,延平北路1段與甘谷街口,106-6-21,25.0527697,121.5118289
大同區,民生西路286號,106-5-31,25.0568742,121.5129345
大同區,南京西路與南京西路64巷口口,106-6-29,25.0525429,121.5182821
大同區,重慶北路1段86號前,106-7-15,25.049577,121.513627
大同區,市民大道1段209號前(台北地下街Y1出口),106-5-1,25.0486673,121.5142909
大同區,承德路3段297號,106-5-8,25.0754485,121.5204804
大同區,民權西路與大龍街口,106-5-13,25.0629722,121.5166608
大同區,鄭州路與塔城街口,106-5-14,25.050385,121.5097864
大同區,延平北路2段43巷8號,106-5-27,25.0551245,121.5122969
大同區,承德路3段與民族西路口,106-6-2,25.0683381,121.5185818
大同區,延平北路2段70號,106-6-6,25.0557096,121.5115607
大同區,環河北路1段玉泉公園停車場號,106-4-25,25.0497229,121.507347
大同區,重慶北路2段與民權西路口,106-5-1,25.0621449,121.513387
大同區,台北橋機車道下橋處,106-5-5,25.0633491,121.5089645
大同區,民權西路106號,106-5-13,25.0626833,121.5172713
大同區,昌吉街35號,106-5-19,25.0659753,121.5166918
大同區,民權西路與台北橋口往三重機車道,106-5-7,25.0630612,121.515679
大同區,塔城街與長安西路口,106-5-4,25.0520235,121.5104337
大同區,民族西路182巷,106-5-20,25.068045,121.5148583
大同區,承德路3段與敦煌路口,106-5-31,25.0707623,121.518518
大同區,太原路與民生西路口,106-5-11,25.0569879,121.5155683
大同區,承德路1段與平陽街口,106-5-23,25.0633359,121.518582
大同區,延平北路2段239號,106-6-9,25.0613756,121.5114493
大同區,延平北路2段211號,106-6-16,25.0597579,121.511528
大同區,延平北路3段43號,106-6-9,25.0649644,121.5112246
大同區,承德路3段與民權西路口,106-5-29,25.0629867,121.5182325
大同區,承德路3段312號,106-5-16,25.074687,121.5196889
大同區,承德路2段2號日新國小,106-5-23,25.0544041,121.5164821
大同區,西寧北路與民生西路口,106-5-30,25.0526962,121.5086343
大同區,忠孝西路2段與西寧北路口,106-6-5,25.0485739,121.507576
大同區,重慶北路3段236巷45弄與重慶北路3段252巷口,106-6-13,25.0705982,121.5122257
大同區,承德路2段與民生西路口,106-5-12,0.0,0.0
大同區,寧夏路與歸綏街口,106-5-13,25.0582238,121.5105935
大同區,台北橋匝道下橋處,106-5-24,25.0637104,121.5065347
大同區,延平北路3段66巷,106-5-10,25.0653999,121.5104113
大同區,延平北路2段與涼州街口,106-8-9,25.060562,121.511509
大同區,民權西路與延平北路2段口,106-8-9,25.0621,121.511175
大同區,重慶北路3段與酒泉街口,106-8-9,25.0721299,121.5140626
大同區,承德路2段與南京西路口,106-5-21,25.053328,121.5176323
大同區,市民大道1段211號,106-5-22,25.0493179,121.5177851
大同區,環河北路1段與民生西路口,106-6-3,25.0836033,121.506889
大同區,長安西路與西寧北路口,106-6-9,25.0526962,121.5086343
大同區,酒泉街64號對面,106-6-9,25.0719185,121.5155056
大同區,敦煌路80巷,106-6-19,25.075368,121.5175403
大同區,承德路3段285巷,106-6-16,25.0732086,121.5195399
大同區,承德路3段與酒泉街口,106-6-1,25.0699378,121.5182537
大同區,延平北路2段與民權西路口,106-6-1,25.0627882,121.5112205
大同區,承德路2段與錦西街口,106-6-2,25.0602135,121.5181568
大同區,昌吉街121號,106-6-6,25.065996,121.510678
大同區,民族西路187巷,106-6-8,25.0695457,121.5149182
大同區,大龍街46巷,106-6-12,25.0647841,121.5157642
大同區,鄭州路與塔城街口,106-5-19,25.050385,121.5097864
大同區,迪化街2段296巷,106-5-26,25.0713468,121.5117113
大同區,承德路1段與太原路97巷口,106-6-14,25.0520443,121.5166462
大同區,民生西路57號,106-7-7,25.0577277,121.520325
大同區,延平北路3段110號,106-4-15,25.1058802,121.4779234
大同區,市民大道1段往西轉運站Y1出口前,106-4-4,25.0488533,121.5187085
大同區,長安西路177巷口,106-4-15,25.0523257,121.5137133
