state_code,center,center_lat,center_lon,dist,vil,km_x,km_y,mrt,hsp_and_clc,illegal,night_club,ubike,edu_all_statecode,106_traffic_done
552626787,"(24.99005191093747, 121.55287787426008)",24.990051910937467,121.55287787426008,文山區,華興里,2763.2499999999995,13393.74999999999,0.0,0.0,0.4068126866058519,0.0,0.0,0.4388161718226224,0.44626793684545507
552626788,"(24.99005191093747, 121.55741554585593)",24.990051910937467,121.55741554585592,文山區,華興里,2763.2499999999995,13394.249999999989,0.0,0.4595,0.41097580355917684,0.0,0.0,0.1415951535187557,0.40314296513155484
552626789,"(24.99005191093747, 121.5619532174518)",24.990051910937467,121.5619532174518,文山區,明興里,2763.2499999999995,13394.74999999999,0.0,0.22649999999999998,0.43984356238894756,0.0,0.0,0.4304193368745828,0.4341715172983616
552626790,"(24.99005191093747, 121.56649088904767)",24.990051910937467,121.56649088904769,文山區,木柵里,2763.2499999999995,13395.249999999993,0.0,0.2405,0.3305872326139455,0.0,0.0,0.3443982578353148,0.39750991499681565
552626791,"(24.99005191093747, 121.57102856064354)",24.990051910937467,121.57102856064354,文山區,木新里,2763.2499999999995,13395.74999999999,0.0,0.4465,0.44036404235123283,0.0,0.0,0.33981355181922923,0.4374749191348818
552626792,"(24.99005191093747, 121.5755662322394)",24.990051910937467,121.5755662322394,文山區,萬興里,2763.2499999999995,13396.24999999999,0.0,0.0,0.4287488775495511,0.0,0.0,0.41891795139382604,0.3974382159721469
552626793,"(24.99005191093747, 121.58010390383527)",24.990051910937467,121.58010390383528,文山區,政大里,2763.2499999999995,13396.749999999993,0.0,0.0,0.3236118662842881,0.0,0.0,0.15933472802736873,0.4111195854408518
552626794,"(24.99005191093747, 121.58464157543114)",24.990051910937467,121.58464157543114,文山區,政大里,2763.2499999999995,13397.24999999999,0.0,0.0,0.38472930743576056,0.0,0.0,0.3726140764920188,0.38483726946609814
552626795,"(24.99005191093747, 121.589179247027)",24.990051910937467,121.58917924702699,文山區,政大里,2763.2499999999995,13397.74999999999,0.0,0.0,0.3300649767680432,0.0,0.0,0.08285378687784886,0.33223072334471493
552626796,"(24.99005191093747, 121.59371691862286)",24.990051910937467,121.59371691862286,文山區,政大里,2763.2499999999995,13398.24999999999,0.0,0.0,0.44893039549578284,0.0,0.0,0.3967272362719756,0.37694258451140883
552626797,"(24.99005191093747, 121.59825459021873)",24.990051910937467,121.59825459021872,文山區,政大里,2763.2499999999995,13398.749999999989,0.0,0.0,0.13583755003679943,0.0,0.0,0.3669015535535384,0.40570775284474964
552626798,"(24.99005191093747, 121.6027922618146)",24.990051910937467,121.6027922618146,文山區,政大里,2763.2499999999995,13399.24999999999,0.0,0.0,0.3876583031485331,0.0,0.0,0.10915585188161006,0.3244608562917564
552726801,"(24.99457376960226, 121.53869221668808)",24.994573769602265,121.53869221668808,文山區,景慶里,2763.750000000001,13400.750000000015,0.0,0.0,0.3000525953895417,0.0,0.0,0.0,0.3747265397484367
552726802,"(24.99457376960226, 121.54322698870519)",24.994573769602265,121.5432269887052,文山區,景華里,2763.750000000001,13401.250000000015,0.0,0.0,0.5506656802071696,0.0,0.0,0.0,0.43857185085037514
552726803,"(24.99457376960226, 121.54776176072231)",24.994573769602265,121.54776176072231,文山區,景東里,2763.750000000001,13401.750000000015,0.0,0.0,0.26001907308377775,0.0,0.0,0.0,0.3813300001780122
552726804,"(24.99457376960226, 121.55229653273942)",24.994573769602265,121.55229653273943,文山區,興得里,2763.750000000001,13402.250000000015,0.0,0.0,0.1168244802414009,0.0,0.0,0.0,0.41280720149987987
552726805,"(24.99457376960226, 121.55683130475653)",24.994573769602265,121.55683130475651,文山區,興得里,2763.750000000001,13402.750000000011,0.0,0.0,0.2808753460166983,0.0,0.0,0.0,0.41169123477983194
552726806,"(24.99457376960226, 121.56136607677365)",24.994573769602265,121.56136607677364,文山區,興家里,2763.750000000001,13403.250000000013,0.0,0.0,0.28065320632806284,0.0,0.0,0.0,0.3877100954043311
552726807,"(24.99457376960226, 121.56590084879076)",24.994573769602265,121.56590084879076,文山區,木柵里,2763.750000000001,13403.750000000015,0.0,0.0,0.41491836546482247,0.0,0.0,0.0,0.41332018107573837
