Number,Name,Address,Status,lat,long,cond
38509673,銘御室內外設計工程行,臺北市北投區中央北路2段237巷33號2樓,核准設立,25.137544000000002,121.492378,T
38513613,源榕五金行,臺北市大同區延平北路2段60巷9號1樓,核准設立,25.0554704,121.5112635,T
38513677,雨勳工程行,臺北市萬華區萬大路493巷28弄5號,核准設立,25.019503,121.49881,T
38515149,見張工程行,臺北市南港區合順街8巷3弄18號,核准設立,25.0421918,121.61890790000001,T
38553255,允盛工程行,臺北市士林區社中街228巷3弄1號3樓,核准設立,25.0916128,121.5081104,T
38553662,紘暘工程行,臺北市萬華區和平西路3段109巷11號3樓,核准設立,25.0359014,121.50051599999999,T
38554114,永承水電工程行,臺北市南港區玉成街235巷4號,核准設立,25.043116100000002,121.5855753,T
38556350,台灣愛梭五金行,臺北市萬華區環河南路1段248號,核准設立,25.0460659,121.50297749999999,T
38558548,大昌中古五金行,臺北市萬華區環河南路1段10號,核准設立,25.0485247,121.50591409999998,T
38560827,承達室內裝修工程行,臺北市大安區忠孝東路4段206之1號4樓,核准設立,25.041193,121.552351,T
38561229,青山汽車材料行,臺北市內湖區麗山街328巷8之1號,核准設立,25.0831862,121.57362109999998,T
38566049,亞摩工程行,臺北市內湖區成功路2段301號1樓,核准設立,25.072623800000002,121.5893976,T
38568980,孫氏工程行,臺北市大同區長安西路249號4樓,核准設立,25.0521572,121.51117920000002,T
38571303,大勇工程行,臺北市文山區和平東路4段89號,核准設立,25.0049991,121.56849199999999,T
38571520,宏翊工程行,臺北市內湖區康樂街20巷10號3樓,核准設立,25.0685099,121.61746699999999,T
38571599,立安工程行,臺北市大同區華陰街277巷7號,核准設立,25.050105399999996,121.51587479999999,T
38572632,振鼎工程行,臺北市中山區林森北路259巷9號5樓之14,核准設立,25.054424800000003,121.5260521,T
38574147,水手清潔用品材料行,臺北市內湖區內湖路1段323巷5弄5號5樓,核准設立,25.082936800000002,121.56832069999999,T
38574358,宇伸工程行,臺北市中山區中山北路2段170號8樓,核准設立,25.0635527,121.5222178,T
38575589,以勒工程行,臺北市大安區忠孝東路3段249號3樓,核准設立,25.0418043,121.54148459999999,T
38577361,啟宏五金行,臺北市信義區和平東路3段531巷83號,核准設立,25.015757,121.56223200000001,T
38578328,聖嘉工程行,臺北市中山區松江路283號5樓,核准設立,25.060222,121.5334757,T
38579425,亦翔工程行,臺北市北投區中央北路4段456巷2號,核准設立,25.129177600000002,121.4698551,T
38580350,尚歷工程行,臺北市中正區中華路2段81巷66號,核准設立,25.0263345,121.5109831,T
41070606,創升工程行,臺北市內湖區東湖路160巷10弄20號4樓,核准設立,25.067609,121.61706799999999,T
41083519,佳欣工程行,臺北市中正區忠孝西路1段50號15樓之1,核准設立,25.046222,121.51583000000001,T
42268465,帷新工程行,臺北市中山區民族東路410巷23弄22號5樓,核准設立,25.066771,121.539449,T
42269627,泰泓工程行,臺北市南港區市民大道7段26號2樓,核准設立,25.0487854,121.58138840000001,T
42276423,富瑜工程行,臺北市文山區興隆路2段222號,核准設立,25.001362699999998,121.552811,T
42277561,阿樑工程行,臺北市內湖區內湖路1段629巷40弄16號,核准設立,25.0817285,121.5743327,T
42277909,鼎笙工程行,臺北市北投區中和街493巷16弄16號,核准設立,25.144371600000003,121.4937256,T
42278301,鋐冠工程行,臺北市北投區中和街502巷11弄10號3樓,核准設立,25.147251,121.493897,T
42279759,源泰五金行,臺北市中山區龍江路11巷46號1樓,核准設立,25.047373399999998,121.5412717,T
42280616,宏宥工程行,臺北市信義區和平東路3段447號,核准設立,25.0189191,121.5586865,T
42284084,承安工程行,臺北市文山區興德路53巷15弄3號,核准設立,25.001983600000003,121.55549029999999,T
42292492,宏信工程行,臺北市大安區基隆路2段208號,核准設立,25.0236889,121.551437,T
42292943,利山鋁業工程行,臺北市中山區吉林路394號1樓,核准設立,25.0652078,121.5301953,T
42293680,風尚工程行,臺北市大同區南京西路18巷6號5樓之2,核准設立,25.0518668,121.52019109999999,T
42295322,祥宥工程行,臺北市萬華區廣州街62號1樓,核准設立,25.036481,121.5032639,T
42297996,得鑫電器工程行,臺北市大安區臥龍街272巷5號,核准設立,25.016892600000002,121.55825220000001,T
42335252,上好裝潢工程行,臺北市信義區松隆路345號1樓,核准設立,25.048702,121.57986399999999,T
42336610,名辰五金行,臺北市萬華區環河南路1段222號1樓,核准設立,25.046321,121.5032939,T
42338384,國盟工程行,臺北市萬華區莒光路250之1號1樓,核准設立,25.0313262,121.49966909999999,T
42339314,老虎空間室內裝修工程行,臺北市南港區富康街41號1樓,核准設立,25.053248999999997,121.617333,T
42340136,天降神兵工程行,臺北市信義區虎林街232巷9號1樓,核准設立,25.036615,121.57718700000001,T
42343632,富霖水電瓦斯器具行,臺北市信義區中坡南路130之6號,核准設立,25.04052,121.58463700000001,T
48502214,顏億五金商行,臺北市萬華區大理街171之2號1樓,核准設立,25.033999899999998,121.49487979999999,T
48559525,東海水電行,臺北市信義區吳興街281巷13號1樓,核准設立,25.0266141,121.5647382,T
48582407,永勝工程行,臺北市內湖區內湖路3段60巷50弄6號,核准設立,25.089111499999998,121.5929386,T
48683030,佳昇工具行,臺北市士林區延平北路6段33號1樓,核准設立,25.0872955,121.5088987,T
48686521,琦士美工程行,臺北市萬華區西寧南路36號2樓之105,核准設立,25.0452425,121.5064943,T
48698245,恆億水電材料行,臺北市文山區恆光街14巷16號1樓,核准設立,24.9826808,121.56629840000002,T
48717720,春和五金行,臺北市大同區民族西路35號1樓,核准設立,25.068672399999997,121.5194419,T
48721392,永昇五金行,臺北市大安區四維路154巷11號1樓,核准設立,25.0310714,121.5473769,T
48725783,亞帝工程行,臺北市中山區民族東路262號,核准設立,25.0679895,121.53494009999999,T
48750662,巨丞裝潢設計工程行,臺北市信義區忠孝東路5段71巷10號,核准設立,25.041948100000003,121.56721940000001,T
48756645,松杰汽車材料行,臺北市大同區太原路11巷18號1樓,核准設立,25.0494872,121.5157473,T
48770180,永宏工程行,臺北市信義區嘉興街179之2號,核准設立,25.026999800000002,121.5570207,T
48777064,承泰不銹鋼工程行,臺北市士林區永平街16號1樓,核准設立,25.089963100000002,121.5052799,T
48786401,佳得百貨五金行,臺北市萬華區萬大路486巷31號,核准設立,25.020067899999997,121.496494,T
48786535,金三芝五金百貨行,臺北市文山區景美街99號,核准設立,24.990316699999997,121.5416033,T
48788288,彩富五金行,臺北市北投區中和街488號,核准設立,25.1453141,121.4949936,T
48812506,利樺工具五金行,臺北市萬華區西藏路161號,核准設立,25.0293448,121.5012727,T
48856166,和泰五金行,臺北市南港區南港路2段258號,核准設立,25.0544027,121.59672959999999,T
48856216,來發五金行,臺北市內湖區成功路4段315號,核准設立,25.084491399999997,121.5985436,T
48868326,尚杰工程行,臺北市北投區民族街39號,核准設立,25.133113,121.505477,T
48868775,長弘五金行,臺北市萬華區和平西路3段49之1號,核准設立,25.0353573,121.5027148,T
48883430,拾圓五金文具百貨商行,臺北市萬華區東園街28巷7號,核准設立,25.026862,121.495424,T
48894252,鈺民廣告工程行,臺北市士林區延平北路5段63號,核准設立,25.0805268,121.5106176,T
48901063,鴻祥汽車材料行,臺北市中山區八德路2段195號,核准設立,25.0465936,121.53898240000001,T
48922644,煥新工程行,臺北市士林區延平北路7段9號1樓,核准設立,25.094496,121.4961851,T
48936400,亨佳工程行,臺北市北投區公館路340巷6號,核准設立,25.1237405,121.5049547,T
48947173,信發水電材料行,臺北市文山區興隆路1段289號,核准設立,24.9988538,121.54459569999999,T
48960323,上慶五金百貨商行,臺北市北投區石牌路1段166巷131號,核准設立,25.111526,121.51578889999999,T
48962080,勝昌五金行,臺北市萬華區環河南路1段154號,核准設立,25.0468522,121.5038772,T
