name,shopType,district,status,address,lat,lon,number
從前從前服飾店,cloth,大安區,核准設立,復興南路1段107巷5弄8號,25.04424,121.5445785,38560734
伊衫服飾店,cloth,大安區,核准設立,通化街39巷62弄53之1號,25.0299234,121.5563225,38561213
君源服飾行,cloth,大安區,核准設立,羅斯福路3段191號,25.021088,121.528109,38562135
橙品服飾精品店,cloth,松山區,核准設立,民生東路4段75巷2號,25.058201,121.551361,38562389
樂星時裝,cloth,中正區,核准設立,?門街89之2號,25.042754,121.515034,38563113
橙品家飾生活屋,cloth,信義區,核准設立,永吉路326巷27號1樓,25.0441065,121.5755472,38563471
舒波瑞奇精品服飾,cloth,中山區,核准設立,錦西街3號,25.0604198,121.5220027,38563535
楊媽媽童裝小舖,cloth,松山區,核准設立,八德路4段660號4樓之6,25.049864000000003,121.5758318,38564794
鹿羽精品服飾店,cloth,中山區,核准設立,林森北路132號1樓,25.0513443,121.5250264,38564909
儒娜韓國服飾精品,cloth,松山區,核准設立,民生東路5段224號1樓,25.0588915,121.56551709999998,38565766
雅德服飾店,cloth,北投區,核准設立,石牌路1段164之1號,25.1143871,121.5134712,38565843
銤菈服飾店,cloth,大安區,核准設立,師大路59巷6號,25.0238307,121.528865,38565908
歐雅寶飾坊,cloth,中正區,核准設立,信義路2段59號,25.034819,121.52613999999998,38566337
瑜千進口服飾專門店,cloth,士林區,核准設立,天母西路3之25號,25.118591,121.529231,38566358
艾密齊服飾坊,cloth,中山區,核准設立,合江街135號1樓,25.0615805,121.5393831,38566619
衣帽間精品服飾店,cloth,大安區,核准設立,羅斯福路3段283巷36號4樓之2,25.0194492,121.5318148,38566863
藜花服飾精品店,cloth,大安區,核准設立,師大路49巷13號,25.0243987,121.5292909,38568258
卡絲莉精品服飾店,cloth,中山區,核准設立,松江路226巷16之2號1樓,25.0583996,121.5315897,38568362
藝邦服飾店,cloth,中山區,核准設立,南京東路2段176號1樓,25.0516609,121.534972,38569284
洪白服飾店,cloth,大安區,核准設立,安東街40巷7號,25.044189000000006,121.541859,38570135
洪勝美服裝行,cloth,萬華區,核准設立,西園路1段181之1號,25.0343497,121.4995297,38570661
大世界服飾,cloth,中正區,核准設立,汀州路2段339號1樓,25.0212595,121.5252685,38571351
緯縈服飾實業開發店,cloth,內湖區,核准設立,成功路4段168號9樓之2,25.0831939,121.5929564,38572345
吉驪服裝行,cloth,大同區,核准設立,重慶北路1段22號地下之16、地下之15,25.081781600000006,121.5129575,38572491
歐哈那服飾店,cloth,大安區,核准設立,敦化南路1段161巷3號1樓,25.0436032,121.5495222,38572751
穎芃服飾店,cloth,中正區,核准設立,武昌街1段16巷16號1樓,25.043225,121.512545,38573040
