name,shopType,district,status,address,lat,lon,number,state_code
上豪五金生活百貨館,hardware,士林區,核准設立,華榮街79號,25.0967533,121.5232703,25557356,555027038
星昇機電保養工程行,hardware,士林區,核准設立,社正路45巷10號1樓,25.089628100000002,121.50971000000001,25565010,554827027
名家水電行,hardware,萬華區,核准設立,青年路68巷16號1樓,25.0233986,121.5021592,25567592,553326889
晨達橡膠五金行,hardware,萬華區,核准設立,開封街2段12號3樓之1,25.046055,121.50873100000001,25573665,553826951
佳隆水電工程行,hardware,文山區,核准設立,辛亥路4段166巷17號,25.0047183,121.55574890000001,25574257,552926841
僑富工程行,hardware,中山區,核准設立,中原街9號,25.0554366,121.5289087,25580167,554026976
大台北五金行,hardware,松山區,核准設立,八德路4段435號1樓,25.0498688,121.5702264,25583328,553926973
翊筌鋁窗材料行,hardware,北投區,核准設立,中和街441巷1弄1號,25.14389460000001,121.4975353,25661652,556027048
柏億工程行,hardware,中山區,核准設立,長安東路2段246號7樓之5,25.048105,121.54317549999999,26207370,553926963
廣詮工程行,hardware,文山區,核准設立,興隆路2段194號3樓,25.001373899999997,121.55184299999999,26215028,552926829
盛庭工程行,hardware,中山區,核准設立,松江路318號13樓,25.06065580000001,121.532867,26215625,554226987
富鈞水電行,hardware,大同區,核准設立,重慶北路3段69號,25.0663013,121.5139462,26218974,554326994
三助水電行,hardware,中山區,核准設立,新生北路2段77巷6號,25.0567591,121.528466,26224315,554126979
大金冷氣材料行,hardware,文山區,核准設立,辛亥路7段51號,24.9846837,121.5544403,26228804,552526766
力豪工程行,hardware,北投區,核准設立,新市街24巷51之1號3樓,25.1312796,121.50328219999999,26231982,555727051
旭豐工程行,hardware,大安區,核准設立,忠孝東路4段295號3樓,25.041724,121.555095,26236852,553726951
何苡工程行,hardware,文山區,核准設立,景興路63號3樓,24.9964527,121.54485849999999,26242475,552726809
極翔發照明工程行,hardware,北投區,核准設立,行義路23巷3號2樓,25.125247,121.52641899999999,26246280,555627055
久康科技工程行,hardware,大安區,核准設立,忠孝東路4段169號11樓之1,25.041705399999998,121.55036650000001,26246654,553726949
世佳工程行,hardware,大同區,核准設立,承德路2段193號10樓之5,25.059338399999998,121.51842479999999,26247056,554126982
越峰工程行,hardware,中山區,核准設立,渭水路54號,25.0455836,121.53506940000001,26251375,553826955
金鼎工程行,hardware,大同區,核准設立,昌吉街121號,25.065996,121.510678,26252521,554326992
常勝水電材料行,hardware,大同區,核准設立,大龍街58號,25.0651005,121.5159574,26257194,554326992
寶翔工程行,hardware,中山區,核准設立,南京東路3段189號10樓,25.0520942,121.54218429999999,26338730,554026972
鼎曜工程行,hardware,松山區,核准設立,南京東路5段296號10樓,25.051112,121.567412,26340222,554026975
東新水電行,hardware,南港區,核准設立,東新街10之10號4樓之1,25.049877300000002,121.58345800000001,26343781,553926976
宏德興業工程行,hardware,中山區,核准設立,南京東路1段86號8樓之4,25.0518622,121.52561170000001,26344310,554026968
宇盛冷氣材料行,hardware,北投區,核准設立,崇仁路1段18號,25.127713,121.50121599999999,26347858,555627050
技美汽車電機材料商行,hardware,萬華區,核准設立,西藏路350號1樓,25.0295013,121.49934609999998,26349960,553526906
三發五金行,hardware,內湖區,核准設立,康樂街72巷17弄44號1樓,25.0703725,121.6171212,26353725,554427024
瑞遠工程行,hardware,文山區,核准設立,辛亥路7段15號,24.9868809,121.55302900000001,26367690,552526775
