typeofcase,date,time,location,area,address,lat,lon,state_code
自行車竊盜,1060123,16~18,內湖路1段360巷1 ~ 30號,內湖區,內湖區內湖路1段360巷1號,25.0823114,121.568353,554627031
自行車竊盜,1060123,16~18,大同里清江路61 ~ 90號,北投區,北投區大同里清江路61號,25.1305016,121.50196880000001,555727051
自行車竊盜,1060124,13~15,景慶里羅斯福路6段211 ~ 240號,文山區,文山區景慶里羅斯福路6段211號,24.9946742,121.54152659999998,552726802
自行車竊盜,1060124,19~21,德行里福國路31 ~ 60號芝山捷運站1號出口,士林區,士林區德行里福國路31號,25.1018587,121.5242412,555127043
自行車竊盜,1060125,07~09,基隆路與和平東路口六張犁捷運站出口前,大安區,大安區基隆路與和平東路口六張犁捷運站出口前,25.023768,121.5518525,553326901
自行車竊盜,1060131,04~06,新生北路2段68巷1 ~ 30號,中山區,中山區新生北路2段68巷1號,25.0448483,121.53319350000001,553826953
自行車竊盜,1060202,22~24,龍江路370巷31 ~ 60號,中山區,中山區龍江路370巷31號,25.066524899999997,121.539285,554327000
自行車竊盜,1060203,13~15,景華里景興路31 ~ 60號,文山區,文山區景華里景興路31號,24.997565899999998,121.544896,552826813
自行車竊盜,1060205,13~15,景華里景中街22巷旁,文山區,文山區景華里景中街22巷旁,24.993722,121.542239,552726799
自行車竊盜,1060206,22~24,萬隆里景隆街1 ~ 30號,文山區,文山區萬隆里景隆街1號,25.0002723,121.540342,552826822
自行車竊盜,1060207,10~12,市民大道路3段1 ~ 30號,中正區,中正區市民大道路3段1號,25.045098,121.5613131,553826960
自行車竊盜,1060208,07~09,安東街16巷1 ~ 30號,中山區,中山區安東街16巷1號,25.04550960000001,121.5420989,553826957
自行車竊盜,1060208,19~21,古風里辛亥路1段91 ~ 120號,大安區,大安區古風里辛亥路1段91號,25.021835999999997,121.530864,553326891
自行車竊盜,1060209,04~06,明義里016鄰興隆路4段107巷31 ~ 60號,文山區,文山區明義里016鄰興隆路4段107巷31號,24.9875,121.56070600000001,552526779
自行車竊盜,1060211,13~15,東門里中山南路1 ~ 30號,中正區,中正區東門里中山南路1號,25.0439998,121.5195803,553826948
自行車竊盜,1060212,13~15,景慶里羅斯福路6段181 ~ 210號,文山區,文山區景慶里羅斯福路6段181號,24.9966759,121.541211,552726809
自行車竊盜,1060213,10~12,景慶里景福街211 ~ 240號,文山區,文山區景慶里景福街211號,24.9945469,121.538128,552726801
自行車竊盜,1060214,16~18,龍生里復興南路2段211 ~ 240號,大安區,大安區龍生里復興南路2段211號,25.0281634,121.5432632,553426912
自行車竊盜,1060215,10~12,永康里信義路2段151 ~ 180號,大安區,大安區永康里信義路2段151號,25.0337725,121.5339929,553626925
自行車竊盜,1060215,19~21,萬有里羅斯福路6段91 ~ 120號,文山區,文山區萬有里羅斯福路6段91號,24.9984389,121.540649,552826816
自行車竊盜,1060217,04~06,水源里羅斯福路4段136巷6弄1 ~ 30號,中正區,中正區水源里羅斯福路4段136巷6弄1號,25.012583,121.5357,553126863
自行車竊盜,1060218,10~12,永春里忠孝東路5段後山埤捷運站1 ~ 30號出口,信義區,信義區永春里忠孝東路5段後山埤捷運站1號,25.0451065,121.5831295,553826965
自行車竊盜,1060218,10~12,玉成公園旁玉成公園旁,南港區,南港區玉成公園旁玉成公園旁,25.042081699999997,121.58557739999999,553826958
自行車竊盜,1060218,10~12,南京東路5段123巷8弄31 ~ 60號,松山區,松山區南京東路5段123巷8弄31號,25.053599300000002,121.5623366,554026979
自行車竊盜,1060218,19~21,龍圖里建國南路2段大安森林公園1 ~ 30號出口,大安區,大安區龍圖里建國南路2段大安森林公園1號,25.0320486,121.53739879999999,553526922
自行車竊盜,1060219,13~15,廣州街209巷1 ~ 30號,萬華區,萬華區廣州街209巷1號,25.0367889,121.50028600000002,553626926
自行車竊盜,1060220,16~18,三重里捷運南港展覽館站1 ~ 30號出口,南港區,南港區三重里捷運南港展覽館站1號,25.0554052,121.6178521,554026996
自行車竊盜,1060221,01~03,國業里虎林街222巷31 ~ 60號,信義區,信義區國業里虎林街222巷31號,25.036727,121.576631,553626943
自行車竊盜,1060222,01~03,螢圃里汀州路2段61 ~ 90號,中正區,中正區螢圃里汀州路2段61號,25.0332565,121.5042912,553626917
自行車竊盜,1060222,04~06,黎平里富陽街21巷18弄1 ~ 30號,信義區,信義區黎平里富陽街21巷18弄1號,25.022865,121.55712820000001,553326900
自行車竊盜,1060222,07~09,敦安里仁愛路4段122巷,大安區,大安區敦安里仁愛路4段122巷,25.0354549,121.5502591,553626933
自行車竊盜,1060223,13~15,南福里羅斯福路1段61 ~ 90號,中正區,中正區南福里羅斯福路1段61號,25.0316586,121.51938340000001,553526916
自行車竊盜,1060226,19~21,廣州街211 ~ 240號,萬華區,萬華區廣州街211號,25.0367954,121.49993059999998,553626926
自行車竊盜,1060227,16~18,西門節運一號出口,萬華區,萬華區西門節運一號出口,25.041771,121.50703500000002,553726940
自行車竊盜,1060228,10~12,康定路74巷2弄1 ~ 30號,萬華區,萬華區康定路74巷2弄1號,25.041992,121.502031,553726939
自行車竊盜,1060228,19~21,福住里新生南路2段31 ~ 60號,大安區,大安區福住里新生南路2段31號,25.03331,121.532393,553626924
自行車竊盜,1060301,07~09,黎明里常德街1 ~ 30號,中正區,中正區黎明里常德街1號,25.0416163,121.51719440000001,553726942
自行車竊盜,1060301,13~15,西新里向陽路31 ~ 60號,南港區,南港區西新里向陽路31號,25.0535818,121.5947692,554026987
自行車竊盜,1060301,19~21,景行里羅斯福路6段401巷,文山區,文山區景行里羅斯福路6段401巷,24.9919234,121.5408797,552626792
自行車竊盜,1060303,19~21,福林里18鄰中正路235巷31 ~ 60號,士林區,士林區福林里18鄰中正路235巷31號,25.0944379,121.5262635,554927036
自行車竊盜,1060304,16~18,大有里安西街21巷1 ~ 30號,大同區,大同區大有里安西街21巷1號,25.059866,121.51017,554126981
自行車竊盜,1060305,07~09,五全里永吉路278巷57弄1 ~ 30號,信義區,信義區五全里永吉路278巷57弄1號,25.043445300000002,121.57425549999999,553826959
自行車竊盜,1060307,01~03,義安里信義路4段186巷,大安區,大安區義安里信義路4段186巷,25.033004199999997,121.5516989,553526927
自行車竊盜,1060308,22~24,中南里市民大道8段541 ~ 570號,南港區,南港區中南里市民大道8段541號,25.0540128,121.61352250000002,554026992
自行車竊盜,1060311,16~18,石牌里西安街1段明德捷運站旁腳踏車停車格,北投區,北投區石牌里西安街1段明德捷運站旁腳踏車停車格,25.10972000000001,121.51884799999999,555227047
自行車竊盜,1060312,07~09,政大里020鄰萬壽路61 ~ 90號,文山區,文山區政大里020鄰萬壽路61號,24.989239,121.5792903,552626790
自行車竊盜,1060313,22~24,成功路2段115巷47弄31 ~ 60號,內湖區,內湖區成功路2段115巷47弄31號,25.064868899999997,121.59306699999999,554327009
自行車竊盜,1060314,13~15,康定路271 ~ 300號,萬華區,萬華區康定路271號,25.034398,121.50126599999999,553626920
自行車竊盜,1060315,10~12,龍泉里泰順街44巷1 ~ 30號,大安區,大安區龍泉里泰順街44巷1號,25.023688,121.5312,553326896
自行車竊盜,1060315,16~18,隆和里延平北路3段景化街口,大同區,大同區隆和里延平北路3段景化街口,25.0633642,121.51117959999999,554226988
自行車竊盜,1060316,10~12,東明里南港路2段31 ~ 60號,南港區,南港區東明里南港路2段31號,25.0535182,121.6029774,554026988
自行車竊盜,1060317,10~12,學府里羅斯福路4段1 ~ 30號,大安區,大安區學府里羅斯福路4段1號,25.0159129,121.532802,553226873
自行車竊盜,1060322,13~15,保安里重慶北路3段313巷1 ~ 30號,大同區,大同區保安里重慶北路3段313巷1號,25.0740624,121.5140293,554527007
自行車竊盜,1060322,19~21,桃源里中央北路3段53巷1 ~ 30號,北投區,北投區桃源里中央北路3段53巷1號,25.137621,121.4928,555927048
自行車竊盜,1060325,19~21,學府里羅斯福路4段113巷1 ~ 30號,大安區,大安區學府里羅斯福路4段113巷1號,25.011141000000002,121.537719,553126859
自行車竊盜,1060328,16~18,義信里1鄰中山北路5段61 ~ 90號,士林區,士林區義信里1鄰中山北路5段61號,25.0836456,121.5255917,554727023
自行車竊盜,1060329,10~12,保安里承德路3段庫倫街,大同區,大同區保安里承德路3段庫倫街,25.071887399999998,121.5185553,554427004
自行車竊盜,1060401,19~21,建民里文林北路31 ~ 60號,北投區,北投區建民里文林北路31號,25.1044106,121.5184945,555127044
自行車竊盜,1060402,07~09,光明里信義路與杭州南路口,大安區,大安區光明里信義路與杭州南路口,25.035332699999998,121.52431909999999,553626927
自行車竊盜,1060403,13~15,承德里中山北路5段61 ~ 90號劍潭捷運站2號出口,士林區,士林區承德里中山北路5段61號,25.0823886,121.5254017,554627022
自行車竊盜,1060403,16~18,黎和里和平東路3段346巷1 ~ 30號,大安區,大安區黎和里和平東路3段346巷1號,25.0193285,121.5573985,553226889
自行車竊盜,1060404,19~21,中南里忠孝東路7段511 ~ 540號,南港區,南港區中南里忠孝東路7段511號,25.052925899999998,121.6120314,554026989
自行車竊盜,1060405,10~12,德昌街185巷1 ~ 30號,萬華區,萬華區德昌街185巷1號,25.0233646,121.4945361,553326887
自行車竊盜,1060406,13~15,復興北路421 ~ 450號,中山區,中山區復興北路421號,25.063083,121.5444532,554226995
自行車竊盜,1060408,19~21,內湖路一段285巷口捷運西湖站旁自行車停,內湖區,內湖區內湖路一段285巷口捷運西湖站旁自行車停,25.0829158,121.5666872,554727032
自行車竊盜,1060408,19~21,吉利里致遠二路113巷1 ~ 30號,北投區,北投區吉利里致遠二路113巷1號,25.117171600000002,121.5116888,555427050
自行車竊盜,1060410,22~24,德安里四維路1 ~ 30號,大安區,大安區德安里四維路1號,25.0338044,121.5478793,553626929
自行車竊盜,1060413,16~18,芳和里和平東路3段151 ~ 180號,大安區,大安區芳和里和平東路3段151號,25.02419410000001,121.55308740000001,553426903
自行車竊盜,1060415,13~15,安康里信義路象山捷運站1 ~ 30號出口,信義區,信義區安康里信義路象山捷運站1號,25.032764999999998,121.57035400000001,553526931
自行車竊盜,1060416,01~03,八德路3段74巷14弄31 ~ 60號,松山區,松山區八德路3段74巷14弄31號,25.047219000000002,121.552194,553926963
自行車竊盜,1060416,22~24,龍坡里泰順街31 ~ 60號,大安區,大安區龍坡里泰順街31號,25.024351,121.531462,553426898
自行車竊盜,1060420,16~18,新生北路3段1 ~ 30號,中山區,中山區新生北路3段1號,25.0628897,121.5281771,554226991
自行車竊盜,1060421,22~24,芳和里樂業街108巷1 ~ 30號,大安區,大安區芳和里樂業街108巷1號,25.0209996,121.55158870000001,553326893
自行車竊盜,1060423,16~18,松壽路1 ~ 30號,信義區,信義區松壽路1號,25.036535999999998,121.56402,553626939
自行車竊盜,1060424,13~15,學府里羅斯福路4段1 ~ 30號,大安區,大安區學府里羅斯福路4段1號,25.0159129,121.532802,553226873
自行車竊盜,1060427,07~09,古莊里羅斯福路2段61 ~ 90號,大安區,大安區古莊里羅斯福路2段61號,25.0235023,121.5248336,553326895
自行車竊盜,1060501,01~03,復興北路421 ~ 450號,中山區,中山區復興北路421號,25.063083,121.5444532,554226995
自行車竊盜,1060502,07~09,榮光里西安街1段313巷1 ~ 30號,北投區,北投區榮光里西安街1段313巷1號,25.112788600000002,121.51609450000001,555327048
自行車竊盜,1060503,22~24,西新里南港路3段106巷5弄1 ~ 30號,南港區,南港區西新里南港路3段106巷5弄1號,25.0541872,121.58936840000001,554026987
自行車竊盜,1060504,01~03,西新里昆陽街60巷1 ~ 30號,南港區,南港區西新里昆陽街60巷1號,25.052178899999998,121.59265800000001,554026983
自行車竊盜,1060504,01~03,玉成里南港路3段121 ~ 150號,南港區,南港區玉成里南港路3段121號,25.053199,121.586428,554026984
自行車竊盜,1060504,10~12,南京西路64段1 ~ 30號,大同區,大同區南京西路64段1號,25.05288,121.51866799999999,554026968
自行車竊盜,1060505,07~09,富水里思源街1 ~ 30號,中正區,中正區富水里思源街1號,25.014372,121.53217120000001,553126868
自行車竊盜,1060505,10~12,學府里羅斯福路4段1 ~ 30號,大安區,大安區學府里羅斯福路4段1號,25.0159129,121.532802,553226873
自行車竊盜,1060505,16~18,永昌里寧波西街181 ~ 210號,中正區,中正區永昌里寧波西街181號,25.0266038,121.5107662,553426900
自行車竊盜,1060506,01~03,八德路2段410巷88弄1 ~ 30號,松山區,松山區八德路2段410巷88弄1號,25.046238600000002,121.54660559999999,553826959
自行車竊盜,1060506,16~18,愛國里延平南路258巷與和平西路口,中正區,中正區愛國里延平南路258巷與和平西路口,25.032586,121.50658100000001,553526916
自行車竊盜,1060506,19~21,幸福里成功高中校門左側,中正區,中正區幸福里成功高中校門左側,25.042875199999997,121.5237972,553826946
自行車竊盜,1060508,19~21,蘭雅里德行東路109巷1 ~ 30號,士林區,士林區蘭雅里德行東路109巷1號,25.107856299999998,121.52824509999999,555227048
自行車竊盜,1060509,16~18,龍圖里信義路3段91 ~ 120號,大安區,大安區龍圖里信義路3段91號,25.033877,121.533515,553626926
自行車竊盜,1060510,10~12,健康路325巷24弄1 ~ 30號,松山區,松山區健康路325巷24弄1號,25.0566478,121.5674364,554126987
自行車竊盜,1060512,01~03,健康路325巷12弄1 ~ 30號,松山區,松山區健康路325巷12弄1號,25.0555402,121.5673455,554026985
自行車竊盜,1060514,04~06,福興里承德路7段91 ~ 120號,北投區,北投區福興里承德路7段91號,25.1108605,121.51090659999998,555327046
自行車竊盜,1060514,16~18,興得里25鄰興隆路3段211 ~ 240號,文山區,文山區興得里25鄰興隆路3段211號,24.994676000000002,121.559772,552726806
自行車竊盜,1060514,19~21,萬芳里005鄰萬安街1 ~ 30號,文山區,文山區萬芳里005鄰萬安街1號,25.002091,121.57081299999999,552926835
自行車竊盜,1060516,01~03,永春里松山路287巷1 ~ 30號,信義區,信義區永春里松山路287巷1號,25.042961,121.578271,553826959
