state_code,house_unitPrice,lease_unitPrice,cloth_done,convStore_done,edu_all_statecode,hardware_done,hsp_and_clc,illegal_don,job_stat_code,mrt,night_club,park,restaurant_statcode,ubike,center,center_lat,center_lon,dist,vil
552626780,364000.0,1225.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,"(24.99005191093747, 121.52111417308902)",24.99005191093747,121.52111417308902,中和區,秀景里
552626781,378000.0,1225.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,"(24.99005191093747, 121.52565184468487)",24.99005191093747,121.52565184468487,中和區,秀景里
552626782,479000.0,1121.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,"(24.99005191093747, 121.53018951628074)",24.99005191093747,121.53018951628074,中和區,秀景里
552626783,505000.0,1225.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,47.0,0.0,"(24.99005191093747, 121.53472718787661)",24.99005191093747,121.53472718787661,新店區,忠孝里
552626784,442500.0,921.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,71.0,0.0,"(24.99005191093747, 121.53926485947247)",24.99005191093747,121.53926485947247,文山區,景美里
552626785,428000.0,877.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,0.0,"(24.99005191093747, 121.54380253106834)",24.99005191093747,121.54380253106834,文山區,景東里
552626786,459500.0,1111.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,0.0,"(24.99005191093747, 121.5483402026642)",24.99005191093747,121.5483402026642,文山區,華興里
552626787,412500.0,941.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,"(24.99005191093747, 121.55287787426008)",24.99005191093747,121.55287787426008,文山區,華興里
552626788,538000.0,1250.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,"(24.99005191093747, 121.55741554585593)",24.99005191093747,121.55741554585593,文山區,華興里
552626789,581000.0,1303.5,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,"(24.99005191093747, 121.5619532174518)",24.99005191093747,121.5619532174518,文山區,明興里
552626790,401000.0,851.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,22.0,0.0,"(24.99005191093747, 121.56649088904767)",24.99005191093747,121.56649088904767,文山區,木柵里
